ID, Nome, Preco, Minimo de noites
4881,Modern Cosmopolitan Home in Hollywood+Free Parking,166,1
4882,Extended Stay Home: Cozy Convenience Fast Wi-Fi,120,30
4883,Private master bedroom&bathroom.,64,1
4884,The Penmar Retreat - Luxurious resort-style oasis,915,1
4885,Cozy 3-bedroom house in Long Beach,182,3
4886,Long Beach Retreat| Central Location| Sleeps 8,230,2
4887,Room in a safe neighborhood,91,30
4888,Spacious Private Room Gated Estate Private Bath,46,10
4889,Gem of Santa Monica: Old World 1Bed/1Bath,130,31
4890,2 Bdrm Duplex Centrally Located,213,30
4891,Cozy Private Bedroom,36,1
4892,Two queen beds,106,1
4893,Beach Apartment Minutes from the Ocean & Downtown,120,31
4894,Extra Large Private Room,92,30
4895,Master Suite,193,3
4896,Sunny SoCal Gem near Los Angeles,150,1
4897,BEAUTIFUL RELAXING HOME WITH BIG POOL AND GARDEN,546,2
4898,House of. Abundance,60,30
4899,Live Like a Star in the Heart of Hollywood,186,2
4900,Classic Hollywood 2-bedroom home with backyard,200,30
4901,Beachwood Canyon Modern,137,30
4902,Modern 1 BR With Shared Bath Near USC,49,30
4903,Modern Home near LA & OC,226,1
4904,Sunset House,154,3
4905,Covina Home with Queen Size Bed,112,2
4906,199 mountain oasis,508,30
4907,Relaxing and private room,55,3
4908,Home of the Braves,168,1
4909,Awesome space,68,1
4910,jacuzzi fully remodeled house,650,1
4911,Adorable Studio Apartment with incredible views!,179,30
4912,Exclusive area in Burbank,279,5
4913,Greenleaf Hotel's Deluxe Getaway 1,109,1
4914,Culver City Luxury Home wLaundry,115,30
4915,Brand New Museum Apart Hotel - Sleeps 2,263,30
4916,Cozy room in Cul-de-sac home,40,1
4917,Craftsman Cottage with Tropical Garden,211,3
4918,Amazing Place In Best Location,999,2
4919,COMFY 1BR apartment in the vibrant Los Angeles.,171,30
4920,Beverly Hills 2 /the Grove/3rd St,125,30
4921,Modern Bachelor in Hollywood,95,1
4922,Apartment in La Crescenta CA,276,1
4923,Bellflower Beauty Perfect for a Family Getaway,214,1
4924,Hollywood Sunset Blvd ! Spacious 2 Bedroom Apt,141,30
4925,Queen Room Near Stoner Park LA,301,30
4926,Peaceful & quiet-townhouse-room,50,1
4927,West Hollywood 5bd with a pool,750,30
4928,Cozy 2BDR House with Private Fenced-in Yard,250,31
4929,Modern Luxury Family Home,350,3
4930,J1- Entire Studio Unit  Near Disney W/ Parking,63,1
4931,Stunning Room or 2B/2B apartment at the Marina,480,1
4932,The Perfect Vacation Spot Near Six Flags,227,2
4933,Private 2BR Guest Suite/Artist Studio,167,1
4934,HD Wi-Fi D Bellflower Cerritos Lakewood LB LA,65,1
4935,Old World Townhouse in SM Full of Charm,190,31
4936,Villa Marmont by Stay Awhile Villas,738,3
4937,HW 2 Homes Side by Side 13 Beds Total LA City View,4162,30
4938,Relax & enjoy,41,1
4939,Home 20 mins to Disneyland,166,2
4940,Comfy Bedroom Upstairs,42,1
4941,Lounge by the Pool at a Zen Oasis in Trendy Miracle Mile,550,30
4942,The Villa,341,2
4943,One bedroom with full kitchen,69,2
4944,Lovely Rooms for Rent,155,7
4945,Cozy guest house/Safe Quiet Neighborhood,87,3
4946,1920s Bungalow in the Center of Highland Park,120,30
4947,Spacious 3-bedroom townhome,200,30
4948,North of Montana gated luxury 1-bdrm guest house,315,4
4949,Renovated Mid Century Modern Design Beach Retreat,550,30
4950,Charming 2Bed/1Bath Townhouse at 14th & Montana,155,31
4951,Central Santa Monica Modern Oasis,230,30
4952,Cheerful one bedroom w/street parking,40,30
4953,Stylish-Modern 4bed/5bath w/pool,1499,3
4954,Modern Charm Oasis in Venice,1000,30
4955,Private 690 sq ft Cozy NextGen Sidehouse,172,2
4956,Spirit of Zen-Living,75,1
4957,Bright Catalina Island Condo w/ Ocean Views!,384,2
4958,lucky house room C,45,1
4959,3BR handcrafted water-view villa in great location,314,31
4960,2022 brand new remodel gated town house,209,30
4961,One Bedroom With Bathroom,50,30
4962,Unwind at a Tranquil Quiet Home,110,30
4963,COZY HOUSE IN WEST HOLLYWOOD,439,30
4964,Santa Monica Bliss: 2BR Perfect for Beach Getaway!,235,1
4965,Lovely condo in the best area of Hollywood!,236,1
4966,Charming 1BR on beach parking bikes pet friendly,176,1
4967,Blueground | Mar Vista courtyard nr shops,174,31
4968,Whittier Hillside Pine Tree Home,1200,7
4969,Relaxing 3/2 House by Rose Bowl Hiking w Parking!,225,2
4970,A Couples Retreat,209,4
4971,Cozy one bedroom house,69,2
4972,Stylish Home Central to DTLA and Disneyland,160,2
4973,Quiet & Cozy Casita del Vibes!,129,2
4974,Modern 1 Bedroom With Shared Bath,49,30
4975,Modern Villa On Sunset Plaza,1359,3
4976,Stunning 3 bed/ 3 bath modern home,150,30
4977,Sunny Haven: Azusa's Modern Comfort (close to LA),160,2
4978,Brand New  Apartment. 1 GIG internet UNIT#1,106,1
4979,1 King bed,106,1
4980,The Esposito Homestead,70,31
4981,Luxury Private Spacious Home 2 Beds Near LA/Disney,175,2
4982,Remodeled 1-bed with VIEWS!,134,2
4983,Modern and cozy/Beach/Free parking,153,1
4984,Spacious & Modern 3BR/2BA Unit,189,1
4985,Stylish Bungalow House- In TheTrendy Melrose Area.,79,31
4986,Lux WeHo Villa w/ Theater Game Room Pool,1150,31
4987,Cozy & Serene Hotel,120,1
4988,Amazing 6 bedrooms 2 Min to PCH and the beach!,750,31
4989,French & Fabulous! Large family friendly pool home,695,3
4990,Corner High Rise Overlooking LA Skyline,342,1
4991,U2 favorite studio,85,1
4992,Calm+Comfort Stay#2,72,3
4993,Beautiful Room for short/long term,48,10
4994,Alamitos Beach Home,80,31
4995,Relaxing house with garden,350,4
4996,The Shore Club,385,1
4997,Luxury Cityscape Heart of DTLA,199,2
4998,Contemporary 2/2 Beachy feel with Ocean Views.,202,30
4999,Private Cozy Studio Bath Kitchenette - DM-G,117,1
5000,Beverly Hills 12k SQFT Mansion w/ Pool + Elevator,5000,3
5001,Rediscover Life in Sophisticated Three Unit Suite!,1191,1
5002,Riva Virtus 65' Yacht - Lamborghini of the Ocean,5000,1
5003,Modern 4 bedroom with rooftop Deck #3,257,30
5004,Capacious Melrose Place,124,30
5005,Ocean Front Belmont Shore Nearby 2nd St & Disney,115,31
5006,El monte Private room.  Unit 303,37,1
5007,Safe and clean with parking space,2106,30
5008,Spacious master bedroom parking washer.  Privacy,99,1
5009,PRIVATE NICE BEDROOM IN MIDCITY BEST AREA IN LA,68,1
5010,2/1.5 bath Townhouse in Hacienda,160,3
5011,Sleep 14 Kids Friendly 4bd3ba Home + Massage Chair,298,2
5012,Cute Sunland Hideaway,55,31
5013,Cozy Room Near Pierce College,37,30
5014,Cozy Charm in West Hollywood,257,1
5015,SUNSET PLAZA ESTATE  | 4B | Pool | Sauna|,2250,30
5016,Central LA location 2 bed / 1 bath Cloverdale #3,110,31
5017,Spacious Art Deco 2Bdm Flat w/ King Bed!,185,3
5018,Charming Spanish Room,99,1
5019,Welcome to our beautiful house with nice view.,80,1
5020,In the heart of Los Angeles,135,30
5021,The Venice/ Mar vista   Bungalow,290,30
5022,Cozy&Comfy Private Bedroom,34,1
5023,Large room,94,5
5024,Courtyard Double Queen Suite,396,31
5025,Bright Private Room in DTLB w/Parking & AC,85,1
5026,3 Beds/2.5 Baths House 1 Block From Abbot Kinney,361,4
5027,Lovely Two bedroom great area 8,239,30
5028,Beautiful Cozy Home Mid City Los Angeles,306,2
5029,CA#4 Newly remodeled 1b1b,109,3
5030,Cozy craftsman hideaway. Whole private guest suite,85,2
5031,Beautiful house with backyard,400,2
5032,Premier unt w/2BR 2.5BA w/jacuzzi tub - 1426 sq ft,181,1
5033,Cozy and Stylish bedroom,100,30
5034,3 bedroom Coastal Casita with Resort amenities,1450,3
5035,Downtown Los Angeles Executive suites,189,30
5036,Stylist Home In Convenient Location,162,2
5037,2 comfortable bedrooms 1 full bath invites 5,110,31
5038,9 Right By Palmdale Hospital & Mall Rm,49,1
5039,Near Beach: Charming 1BD Apt w Pool Tub & Parking,156,31
5040,Spacious 2BD/2BA w/ Pool Gym BBQ and Parking,131,31
5041,Historic Hollywood Townhome,119,30
5042,Business and Medical Travelers Welcome here.,58,14
5043,Solid Studio Space for 2,230,30
5044,Beverly Hills Dream Apartment,209,1
5045,Belmont Shore/Beach/2nd Street/ 1 Bedroom Getaway!,194,2
5046,Vibrant Pool Home | LA Retreat,646,2
5047,. . Hollywood Roomnear Universal,62,1
5048,Cozy room,33,31
5049,176 Santa Clarita Family Home,518,30
5050,Bedroom 3 of 3 in Pool/Jacuzzi 2-story Home,70,1
5051,Olive warehouse event space,3200,30
5052,Beautiful Spacious Home,350,2
5053,Chic Studio in Prime Location,159,1
5054,Luxurious Home | Rooftop & Grill,470,30
5055,Newly Renovated Private Oasis -Westside Bungalow,499,30
5056,n-5,60,1
5057,Retreat room,77,30
5058,The green room,51,30
5059,lucky house room A,55,1
5060,peaceful room and surroundings.,72,1
5061,Premium & New remodel  Cozy Queen bed room,62,3
5062,Private room and private bath,59,30
5063,2 bedroom home+Attached Garage+Washer Dryer+Pool,125,31
5064,[7-4 USC DTLA] Private room with private bath,45,30
5065,Deluxe Full in Boutique Long Beach Hotel,182,1
5066,Luxury high rise! amazing views!,225,30
5067,Newly Renovated Studio with Free Gated Parking F,78,2
5068,Malibu Beach House Panoramic Views Walk 2 Beach,826,2
5069,Sunlit Soiree Hideaway,163,5
5070,Fully Furnished Attached ADU with private entrance,100,2
5071,Big bed 2bd Home,480,1
5072,Casa De Blanca,90,1
5073,Stylish 1 Bedroom,58,30
5074,Jp & Pk house,75,1
5075,Fabulous Hollywood Townhome,119,30
5076,Room to Relax!,125,30
5077,2 bedrooms on a private second floor,148,30
5078,Santa Monica Proper | Premier King,20343,1
5079,Villa Blue,6325,31
5080,Cozy Double Bed Unit,150,1
5081,Cozy Hotel Style Unit near Beverly Hills,150,1
5082,Cozy Home 2 BR -S. Highland Ave 1/2-,179,2
5083,Luxury 2BR 2BA Condo by Cedars,450,30
5084,Bigger Master Room Private Bath Near Hospital,52,2
5085,Cozy and Bright Private Room,73,1
5086,Jetliner by Stay Awhile Villas,1197,3
5087,Simple Budget Private Studio Unit,150,1
5088,Blueground | Marina Del Rey pool & gym nr 405,213,31
5089,Exquisite Villa with Panoramic Views 4BR,1541,1
5090,Hollywood BLVD LOFT,130,30
5091,Beverly Hills Dream Place,213,1
5092,Beautiful cozy sunny studio!,100,30
5093,Walk everywhere n Beverly Hills next to Wholefoods,154,30
5094,Great Deal 3 Rooms 8 People in LA,360,1
5095,East Hollywood Lovely Home,456,12
5096,13 Mins to Disneyland-Central to ALL ATTRACTIONS 3,98,3
5097,Luxury location by the beach in a gated community,750,30
5098,Burbank Beautiful House,1439,3
5099,Modern Zen in Palms/Mar Vista,850,30
5100,Spacious Queen Bed Studio,150,1
5101,Lovely bedroom with private bathroom,69,30
5102,Hollywood Penthouse Getaway,125,30
5103,Small private room for 2 people,30,30
5104,BeverlyHills Charming Private BR,40,30
5105,Hollywood Glam: 1BD/1BA with Pool & Free Parking,169,1
5106,Stylish Hollywood Villa w/ Pool+Parking+BBQ,457,2
5107,Yard Updated Cls to Old Town Pasadena & RoseBowl,235,1
5108,Lovely Unit Steps Away from Beverly Hills,150,1
5109,Cozy Private Unit in LA,120,1
5110,Beautiful Canyon Views Home In Hollywood Hills,379,3
5111,Eclectic Venice Stunner-3 Bedroom/2 Bathroom!,299,30
5112,Ultra Luxury 1Bed/1Bath at 20th & California Ave.,144,31
5113,Modern Condo -UCLA Santa Monica,207,30
5114,Modern 3BR Home with Jacuzzi Top Line Amenities,256,1
5115,Modern Hollywood Charm,344,1
5116,A beautiful breathtaking,280,30
5117,Private room in 2 bedroom 1 bath Apartment,100,30
5118,2bd Apartment (Studio City),229,2
5119,Beautiful Apartment with Outdoor Space,120,30
5120,14-Min Walk to Rose Bowl-Centrally located-Safe,270,1
5121,Newly Renovated Spanish Bungalow in Venice,300,30
5122,Private Bathroom And Private Bedroom With Parking,108,2
5123,Close to Disney beautiful view Pool and 3500 feet,695,4
5124,Altadena Townhouse 10 Min from Rosebowl/Pasadena,291,2
5125,cozy room  A,47,1
5126,Explore Ktown & USC from our Chic 3BR w/Parking,144,2
5127,LA MODERN  RETREAT,215,30
5128,B7# Master Bed W/ Private Bath Near Disney & DTLA,48,1
5129,Beautiful and Beachy 3 bed 2bath,393,3
5130,Ls. DownTown LA Private Room n Bath,60,1
5131,HOLLYWOOD VIEW BUNGALOW,82,31
5132,Malibu Beach House on the Sand!,1700,30
5133,Breezy Getaway Condo Near Bev. Hills,201,1
5134,Safe & private room in Glendale/Verdugo Hills,65,2
5135,Room 1,36,1
5136,Romantic Cabin Getaway,225,1
5137,BRIGHT n' BREEZY HOLLYWOOD BUNGALOW,84,31
5138,Affordable Private Room Upstair,38,1
5139,Stunning Pool and Hot Tub - Unbeatable Panoramic Views,900,1
5140,Big Cozy Dup Home South of DTLA,195,1
5141,Venice Mod Loft / Abbot Kinney,265,5
5142,Villa In Best Location,999,3
5143,CA#9 Newly remodeled entire 1b1b,92,3
5144,2 blocks to beach Beautiful Apt,95,31
5145,Shine Star !,45,3
5146,Amazing Condo with a View!,250,3
5147,Mansion Views Pool/spa Sauna BBQ/B-Ball Patios,2000,30
5148,Rainbow08 Cozy room shared bath  near downtown,56,1
5149,Private entrance studio B,63,2
5150,Modern Pop Art getaway in Long Beach,140,1
5151,Spacious Suite #2 in San Dimas,60,21
5152,Clean Serene LA in the Foothills,88,30
5153,Noku and Kuno's House,78,1
5154,Cheerful 2-Bedroom Home in LA  with Mountain View,182,2
5155,Awesome 2BR West Hollywood-BevHills-Share w/ Owner,69,30
5156,lake view luxury room by bonilli park,175,1
5157,SweetHome @Korea town_3B+3B+1P,190,2
5158,Private Room in Modern Craftsman Home,165,30
5159,Mikes off-road house,124,1
5160,Quaint studio room with patio.,140,3
5161,Cozy and Comfy Tree House,299,3
5162,Private Gated 3BD - 3BR | West Hollywood Compound,371,2
5163,Venice Bougainvillea de La Playa,105,30
5164,4E- Entire Cozy Studio W/ Parking Near Downtown LA,67,1
5165,Charming 1 Bedroom With Shared Bath,49,30
5166,N-Modern Private Room W/ Queen Bed,56,1
5167,Lux Oceanfront Villa with breathtaking views,559,1
5168,Fresh quiet house private entrance private bath,81,1
5169,The House of Flowers,215,1
5170,329D: Two-Story Avalon Home Deck WIFI BBQ,349,1
5171,Monterey park home close to DTLA-514,226,2
5172,Stunning Beverly Hills 4BD Villa,593,3
5173,Adorable 1 bedroom in Beverly Hills,91,30
5174,Cozy Studio Fully Renovated New Appliances,66,2
5175,Adorable Home Central to Disneyland and DTLA,136,2
5176,COZY 3 BED +2 BATH NEAR CEDAR SINAI/BEVERLY HILLS,320,31
5177,2bd/2bth Cozy Cottage in Hollywood! Private yard!,140,30
5178,West Hollywood apartment w/ pool,172,30
5179,Hollywood Blvd One Bedroom Apt Upper Floor,112,30
5180,Cozy Home on the Hill,125,30
5181,Catalina wave C-53,359,2
5182,Point Fermin Villa Apartment (30 Night Min Stay),101,30
5183,Hollywood Hills Designer Villa/Duplex with Authentic Charm,286,2
5184,Villa Seabreeze-Corral Cyn Malibu,283,2
5185,Sweet Life in La La Land,111,30
5186,only available on July 03- August 03,90,1
5187,Newly Renovated Studio with Private Entrance #D,79,2
5188,Stylish Condo w/Pro Audio Studio,280,30
5189,Suite Room (room1) w/ private bathroom Los Angeles,105,2
5190,Luxurious Guesthouse in West Hollywood,234,30
5191,Spacious guest suite,317,1
5192,Zen home in the hills!,500,30
5193,Venice Sky-Lit Beach-Side Duplex,235,30
5194,Top Floor-WeHo-City-view High-celling 1BR/1BA/Pool,149,30
5195,2BR Monrovia Near LA Sights,176,1
5196,Skyline Luxury Haven | Pool Deck | Private | Views,1422,3
5197,Luxury & Modern 5 Bed/5 Bath with Pool,1359,30
5198,Private Cozy Bedroom in Hollywood Best Area in LA,65,1
5199,Sleek 3 BR Beverly Hills Apartment - Upper,210,30
5200,peace and living,85,3
5201,Luxury built & contemporary designed vacation home,414,30
5202,1BR Hidden Suite | Pool and Orchard,100,2
5203,Gated & Central 2 bed/2 bath condo in Monrovia,299,30
5204,Charming 5 Bedroom Granada Hills House with Pool,303,30
5205,2/3 Private Room near Lil Tokyo,45,31
5206,Signature breakfast & fresh-baked cookies,356,30
5207,Old World 1920s 2Bed/1Bath Just 5 Blocks to Beach,170,31
5208,Mika's Garden Cottage,189,2
5209,Zinnia - 1bdr in WeHo (parking gym rooftop),190,5
5210,Private Room in Santa Monica,82,1
5211,6 Luxury Modern Homes 24 Bedrooms & rooftop decks,1900,30
5212,Beautiful 3 Bedroom Casita with Large Pool,179,2
5213,Adorable close to beach private bedroom,87,2
5214,The Shore! Walk to beaches and town!,328,2
5215,Charming Family House with Pool,385,30
5216,Beautiful home on a hill,800,28
5217,2 twin beds shared bathroom,51,1
5218,Serene Granada Hills Oasis in Los Angeles,607,4
5219,Your vacation spot awaits!!,94,31
5220,Quiet room for medical Professionals.,58,14
5221,Beverly Hills Guesthouse .5 miles from CedarSinai,172,1
5222,Disgraceland's Atomic Ranch Room,59,30
5223,Rainbow02 private room/free park/near downtown,58,1
5224,Ry painting,150,1
5225,Malibu Paradise,6500,3
5226,Amazing CityView/Near DTLA LuxuryHome/Location/,439,2
5227,Stylish Studio City Oasis,400,30
5228,Encino Village Spacious 4BR!,267,1
5229,1BR Bungalow - 10 min to beach!,100,31
5230,Escape to private country retreat,250,30
5231,Westside turnkey 1 bedroom apartment #4,105,1
5232,Luxury Beverly Hills Retreat,1280,30
5233,Medical travelers looking for a short stay.,58,14
5234,San Fernando Valley Frida,214,1
5235,Cozy newly built one bedroom guest house,150,30
5236,Luxurious at Hollywood,196,2
5237,Beach charmer,203,30
5238,Santa Monica Studio Loft a Single Block From Montana Avenue,281,3
5239,Organic Private Room & Bath,200,31
5240,Luxury Bel Air Super Modern Mansion,3250,30
5241,Luxury Home with the View,900,30
5242,Lavender's Place,90,30
5243,Modern & cozy 3 bd & 2.5 bath,234,30
5244,San Fernando Valley Valentina,160,1
5245,Hollywood 1 Bedroom III,129,2
5246,The Promenade Santa Monica Luxury Condo,253,1
5247,Peaceful Topanga Canyon Pool Home,66,30
5248,Lower Level Townhome DTLA,297,30
5249,1543 Abbot Avenue - 1 600 sq ft,120,30
5250,The SHACK,200,30
5251,sweet home for vacationes,350,1
5252,Perfect Apartment with Private Entry,128,30
5253,Deluxe Suite in a Boutique Hotel,217,1
5254,Luxurious Stylish Encino Oasis,2700,30
5255,Hollywood Hills 1 bedroom Apt cool and new,150,31
5256,Private King Bed Near K-town,36,30
5257,Lovely #4/private TV/ private AC /free parking,56,1
5258,Central LA 2bd unit for 7people,200,30
5259,Private cozy room!,60,30
5260,Heart Of Santa Monica,213,2
5261,Great Location Double Bed,120,1
5262,Cozy room near to LAX & Redondo.,89,1
5263,B. Comfortable and quiet: Full Bed Mini-Fridge,45,2
5264,Room in family home in peaceful neighborhood,70,30
5265,Modern 3bd/3ba near USC,152,30
5266,Sunrise Malibu Road Beachfront Penthouse celebrity,907,3
5267,Family Oasis Near USC: Spacious 5BD/3BA Haven,412,30
5268,Malibu Vista: Ocean View Luxury,546,1
5269,Surf-inspired boutique on the iconic PCH,656,1
5270,King Private Studio Apt,160,1
5271,/The Oak 1br Condo/ Clean+Safe 90210 on a Budget,146,30
5272,Cozy Duarte three bedroom home.,170,2
5273,Female Only Shared Room,28,30
5274,Stunning 6BR Villa with Private Pool Jacuzzi BBQ,1427,2
5275,Great City View Private Bedroom in Hollywood Hills,99,30
5276,Studio Whole Home ~ 1 Bedroom Kitchen & Parking,120,5
5277,Comfortable master bedroom,85,30
5278,Stunning studio,126,30
5279,Studio Room,93,30
5280,3 bedroom in San Gabriel,185,14
5281,Private Room+Bath in Hollywood,91,1
5282,Bright Beach Bungalow in Beloved Hollywood Riviera,358,2
5283,A Fine Room,53,30
5284,Beverly Hills Alluring Modern,2400,30
5285,private bedroom microwave fridge,51,30
5286,Beachy Cottage,275,30
5287,Sunny Santa Monica Home,199,30
5288,Prestigious Building with pool gym and ocean view,350,30
5289,The Grace Room,49,30
5290,Rodeo Drive House,250,1
5291,Serene 1B in a 5B4B Oasis in USC Rm 4,31,30
5292,Newly remodeled 1 bedroom (Unit 200),87,2
5293,Unique LA Getaway,350,30
5294,Private Bedroom in USC 1314-1,38,30
5295,Inviting 1BD in a 5B4B near Trendy Ktown Area Rm 3,30,30
5296,Heart Home to be like home!,70,1
5297,Serene 1B in a 5B4B Oasis in USC Rm 1,37,30
5298,TOP floor redondo beach condo,150,25
5299,Modern Hollywood Living with Breathtaking Views,230,4
5300,Top Floor Luxury Unit Above The Hollywood Stars,272,2
5301,Architectural Modern Retreat w/ Jetliner Views,1890,3
5302,Modern Hillside Villa!,1200,30
5303,1C | Rampart Shared Room + Bath,27,30
5304,Cozy 1B in a 5B4B near USC and Koreatown! Rm 4,31,30
5305,Central Boho Charm: Private Entry + Bath in WeHo,122,2
5306,2 Homes on One Property! DTLA Disneyland Hollywood,350,2
5307,Nice house quiet and cozy.,80,30
5308,R.P.V. lifestyle,65,30
5309,A Place to Call Home,105,30
5310,Lovely 2 bedroom 2 bath condo- Superbowl ready!,500,31
5311,Blueground | Sherman Oaks pool nr Ventura Blvd,165,31
5312,Stylish Apartment in Downtown LA,80,30
5313,Willow Tree Inn & Suites 1 King Non Smoking,120,1
5314,Quiet and convenient Condo.,55,1
5315,Cozy & Clean room private entry & bath near CSUN.,59,30
5316,Cozy Quiet Spot,60,5
5317,Modern Studio - Luxury Living,73,30
5318,Luxury 3-Bedroom Townhouse off Melrose,300,1
5319,The Captain's Quarters,140,3
5320,Outdoor pool with loungers & cabanas,172,1
5321,Blueground | Marina Del Rey gym & grill nr 405,240,31
5322,Orlando - West Hollywood Home with Pool & Jacuzzi,1221,30
5323,Beautiful charming quiet retreat,220,7
5324,Cozy Guesthouse in Palos Verdes Estates,65,31
5325,Peaceful and cozy guesthouse with Mountain Views,345,2
5326,Beautiful and Spacious 3BR House in Alhambra,196,2
5327,Top floor apartment Abbot Kinney in Venice Beach,105,2
5328,Cozi private room shared bath,64,1
5329,LOS ANGELES NEW CONSTRUCTION PRIVATE GUESTHOUSE,99,30
5330,Beautiful Beachwood apartment,90,30
5331,Gated Oasis Near Melrose,1195,30
5332,Cozy Studio Beverly Hills Adj,151,1
5333,Private Cottage w/ Stunning Saltwater Pool,255,2
5334,Coastal Luxury at its Finest,920,30
5335,B1 Nice master bedroom/private bathtub/free park,78,1
5336,1 Bedroom Unit In Marina Del Rey,177,30
5337,919 Boston Ct - 3B2B - 2023,180,30
5338,Beverly Hills Hotel Style 2 Bedroom Suite,250,1
5339,Style Apt /Nice pool/Beach/Free parking,136,1
5340,Blue Door # 1 in peaceful private Woodland Hills,120,30
5341,Entire brand new home,290,30
5342,The Howland House Cottage,750,30
5343,Beautiful 3BR W/ Pool Garage!,220,30
5344,Sunny studio|West Hollywood|Wifi|AC,111,2
5345,Entourage/Ray Donovan's condo - A GEM! SANITIZED!,110,30
5346,Simple & Relaxed Queen,120,1
5347,Cozy 1 bedroom West Hollywood,136,2
5348,Architectural Villa Pool & Spa,950,30
5349,1 bedroom condo in Tarzana,124,30
5350,lovely hollywood apartment,240,30
5351,Hollywood Loft on Hollywood BLD,175,30
5352,Simple Budget Double Bed Unit,120,1
5353,Blueground | Hollywood pool nr metro dining,167,31
5354,Sweet and lovely 3bdrm home! Minutes to UCLA/CSUN,199,31
5355,Fully remodeled 1-bedroom house with massive yard,206,1
5356,Deluxe Hotel Style Unit,150,1
5357,3 acres of raw land at the Ponderosa,2400,3
5358,Pomona Living at Our Charming 5BR Modern House,229,2
5359,Key Hosting Co I Diamond Bar,300,30
5360,Heart of SM free parking center,144,1
5361,MY HOLLYWOOD SPACE RENTALS 4,60,30
5362,Live Beautifully!  Amazing 3 Bed Ranch Property!,225,10
5363,233 Private room 2nd fl Large desk fast Wi-Fi AC,44,2
5364,Luxury Beverly Hills prime location on the Flats,3300,10
5365,The loft,228,30
5366,Diamond Bar 3B 2B House Quiet,218,30
5367,Private Room in Iconic Hollywood Hills Mansion,223,30
5368,CUL. cal King bed &shared bath,45,10
5369,Penmar Modern,669,31
5370,Lovely condo Long Beach with parking free Wi-Fi,91,7
5371,DTLA USC Dorm room Fig house 6,28,30
5372,Beautiful 3 Bdrm Pool House near beach LA Disney,304,3
5373,Pride of Venice beach Suite -4,178,1
5374,Venice Modern,950,5
5375,Room Walking distance from CSUDH/Dignity Sports,75,1
5376,2020 camper 1-Bedroom,96,3
5377,Modern Courtyard view 2b 2b LUX .,155,30
5378,Love Living Here! Quiet Walkable Cozy,113,30
5379,Northridge 3 Bd Villa,208,30
5380,Classic gem built in 1926 with elegant bar,167,1
5381,Cool West Lancaster CA Home,70,1
5382,Luxury Townhome,135,60
5383,Explore LA from Our Family-Friendly 5BR Home,314,3
5384,6BR Townhouse Nr Culver by JustBringYourToothbrush,510,4
5385,Oceanfront Oasis !,645,2
5386,An Oasis of Comfort Hotel Style Suite,150,1
5387,Heart of the Action Clean Cozy & All Essentials!,92,1
5388,Beverly Hills | Golden Triangle + FREE Parking,201,1
5389,31 day min 2 Bedrm 2 bath House in Hollywood,115,31
5390,Tianpu Warm Suite,48,1
5391,Newly Remodeled 3 Bedroom  Home,150,2
5392,Oceanfront Marvel: Panoramic Views Marina Bliss,276,2
5393,Oceanfront View Cabana SM,496,3
5394,Coolest Cottage 2 Miles To The Sea,96,30
5395,Neighborhood and Location,49,4
5396,Lovely 1 bedroom condo with Pool,120,28
5397,Full access hill house!,300,1
5398,Beaming Zen Guest Suite Stunning Views from Rooftop Patio,250,4
5399,Supreme Bedroom with new home and outdoor lounges,96,30
5400,Oasis on Los Felis Dr G#41637,279,29
5401,Small Hut Bedroom &Single Bed,34,1
5402,Art district - Great location,176,30
5403,Executive Housing: Retro Belmont Heights,128,31
5404,Live AT the Beach | Ocean Views | Friendly Host,64,30
5405,Shared Room,27,30
5406,Top Floor Multi-Room Suite #30102,175,1
5407,OCEAN VIEW room w private BATH,215,7
5408,Nice room  two bed A,50,10
5409,Room1,70,30
5410,private home in pacoima,90,30
5411,5 Minutes from Beach Classic Long Beach Home,207,1
5412,Brand new RV trailer in private yard,80,2
5413,Premium 2BR Living on Vibrant Hollywood Boulevard,256,1
5414,Bright room with private bath,48,3
5415,The Comfortable Room#1,66,2
5416,Clean Quiet Private Entire Home,230,2
5417,Your Luxe Airbnb Hideaway in LA,999,3
5418,New Home Close To Studios,299,30
5419,Chic 4BR/3.5BA Modern Comfort with Rooftop,255,3
5420,Qn Bed Charming Room LBAirport Close,70,1
5421,Airy 2Bed/1.5Bath Penthouse w/ Balcony,170,31
5422,Private room for 4 people LA,58,30
5423,Private room 1 in Baldwin park,46,4
5424,Lovely one bedroom condo with indoor fireplace,133,31
5425,Cozy Condo.,100,1
5426,Curson Compound 9 bedroom,475,30
5427,City Life in LA! 3 Units Balcony Heated Pool!,1231,1
5428,Moden Villa In Best Location,1199,3
5429,Cozy Bedroom Close to All -3,75,3
5430,Bella Vista Estate,2400,30
5431,cozy one bdrm In Santa Monica!,300,2
5432,Cozy Hotel Style Suite,150,1
5433,Castle 1 bedroom walking distance to the beach,399,31
5434,Family Fun Retreat-Outdoor games,264,1
5435,5# Temple Warm and elegant room,46,30
5436,B6. MidCity Corner Room & Balcony w/Private Bath,48,1
5437,Movie producer 2 bedroom Apt,333,31
5438,Tranquil,90,93
5439,lucky house  room F,43,1
5440,The Drop In,96,31
5441,Queen Bed Shared Bathroom Garage,69,30
5442,DTLA Serene Spot,1910,1
5443,Olivia's Corner,125,1
5444,Private 4-Bed dorm with ensuite washroom,231,1
